i                x                y                        G(x,y)


0                0.1                1.000076889539571                0.0
1                0.2                1.000611768246271                8.881784197001252e-16
2                0.3                1.0020192268896502              -8.881784197001252e-16
3                0.4                1.0045088679559242               1.3322676295501878e-15
4                0.5                1.0077066781600812               0.0
5                0.6                1.0099775802424373               0.0
6                0.7                1.0072852484929578               4.440892098500626e-16
7                0.8                0.9908416402670023               3.4292568784621835e-12
8                0.9                0.939590180874407                2.625115769205877e-08
9                1.0                0.770398255686955                0.00018558954368641523
